source,subject,price_raw,price_clean,odo,year,age,condition,km_per_year,battery_status,description
otodien_B2C,VinFast VF MPV 7 2026 - 4466 km,675 triệu,675000000,4466.0,2026.0,0,Đã sử dụng,4466.0,Thuê pin,"mpv7 2026 odo 4466km 
xe lên flim và sàn 
sạc giới hạn 10 lần . SĐT liên hệ: 098234**** Hiện số"
otodien_B2C,VinFast VF8 2023 Plus - 53000 km,640 triệu,640000000,53000.0,2023.0,3,Đã sử dụng,17667.0,Thuê pin,"VF8 Plus 2023 Bạc nt nâu da nò
odo 5v3 🚗 sẵn HS sang tên
ko có xe xăng giá 690
có xe xăng đổi qua giá 640🌾
địa chỉ: Xuân Phương, Hà Nội SĐT liên hệ: 082623**** Hiện số"
otodien_B2C,Vf8 plus vin 2025 - Mới - Hàng hiếm,910 triệu,910000000,,2025.0,1,Đã sử dụng,,Thuê pin,"Vf8 plus vin 2025 
Chưa ra biển số
Hàng hiếm , màu hiếm SĐT liên hệ: 082623**** Hiện số"
otodien_B2C,VF9 Plus Vin 2026 xám nt nâu da bò mới 🔥🔥,1 tỷ 365 triệu,1365000000,,2026.0,0,Đã sử dụng,,Thuê pin,"Chủ ko đi đến cần bán lại vf9 plus Vin2026 xám nt nâu da bò
Xe đã xuất hoá đơn cá nhân, nhưng chưa ra biển số , khách mua về ra tên lần đầu
giá hơn 1 tỉ3**tr🌾
địa chỉ: Xuân Phương, Hà Nội SĐT liên hệ: 082623**** Hiện số"
otodien_B2C,VinFast VF7 2025 Plus - 14000 km,775 triệu,775000000,14000.0,2025.0,1,Đã sử dụng,14000.0,Thuê pin,Vinfast VF7 Plus 2025 xanh rêu odo 1v4 km bản 2 cầu trần thép xhđ cty cao SĐT liên hệ: 092962**** Hiện số
otodien_B2C,"VINFAST VF 2 NEW 100% – MINI SUV ĐIỆN THÔNG MINH, NHỎ GỌN, SẴN SÀNG ĐÓN ĐẦU",188 triệu,188000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"⚡ VinFast VF 2 là mẫu mini SUV điện thế hệ mới hướng đến khách hàng trẻ, gia đình nhỏ và người thường xuyên di chuyển trong đô thị. Với thiết kế hiện đại, kích thước nhỏ gọn cùng nhiều công nghệ thông minh, VF 2 mang đến giải pháp di chuyển xanh, tiết kiệm và thuận tiện cho cuộc sống hằng ngày.

🎁 XE NEW 100% CHÍNH HÃNG

✅ Hỗ trợ tư vấn đặt xe và cập nhật lịch mở bán mới nhất.
✅ Hỗ trợ trả góp lên đến 80% giá trị xe.
✅ Hỗ trợ đăng ký, đăng kiểm và giao xe trên toàn quốc khi xe được bàn giao.
✅ Bảo hành chính hãng theo tiêu chuẩn VinFast.
✅ Cập nhật báo giá và chính sách bán hàng mới nhất từ VinFast. SĐT liên hệ: 094821**** Hiện số"
otodien_B2C,VinFast VF8 2023 Plus - 79000 km,735 triệu,735000000,79000.0,2023.0,3,Đã sử dụng,26333.0,Thuê pin,"VF8 plus cuối 23 model 24 pin CATL
Xe đi 7,9v km
Chất xe đẹp, lên form bản hoả long SĐT liên hệ: 034568**** Hiện số"
otodien_B2C,"VINFAST VF 5 MỚI 100% – SUV ĐIỆN GẦM CAO, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",451 triệu,451000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"🚙 VINFAST VF 5 MỚI 100% – GẦM CAO, NHỎ GỌN, TIỆN DỤNG

✅ Dòng xe: VinFast VF 5
✅ Tình trạng: Xe mới 100%
✅ SUV điện 5 chỗ
✅ Thiết kế trẻ trung, hiện đại
✅ Gầm cao, dễ di chuyển trong đô thị
✅ Kích thước gọn gàng, dễ quay đầu và đỗ xe
✅ Không gian 5 chỗ phù hợp cá nhân và gia đình nhỏ
✅ Vận hành êm ái, chi phí sử dụng tiết kiệm
✅ Nhiều màu sắc để lựa chọn

VinFast VF 5 là lựa chọn phù hợp cho khách hàng cần một mẫu SUV điện nhỏ gọn nhưng vẫn đảm bảo không gian sử dụng thực tế.

Xe phù hợp để đi làm hằng ngày, đưa đón con, đi chơi cuối tuần hoặc sử dụng như chiếc xe gia đình đầu tiên. Thiết kế gầm cao mang lại khả năng quan sát tốt, đồng thời kích thước vừa phải giúp VF 5 linh hoạt khi di chuyển trong phố đông.

💰 GIÁ XE: Liên hệ để nhận báo giá và chương trình ưu đãi mới nhất SĐT liên hệ: 079596**** Hiện số"
otodien_B2C,VinFast VF6 2025 Plus - 28000 km,635 triệu,635000000,28000.0,2025.0,1,Đã sử dụng,28000.0,Thuê pin,"VF6 plus 2025 bản xuất Mỹ

Odo : 2v8 km SĐT liên hệ: 092962**** Hiện số"
otodien_B2C,VinFast VF9 2026 Plus - 6000 km,1 tỷ 280 triệu,1280000000,6000.0,2026.0,0,Đã sử dụng,6000.0,Thuê pin,"trải nhiệm xong rồi e cần bán VF9 plus Vin2026 màu trắng siêu lướt 6000km🚗
đã lên ốp pin, film+ sàn. BHTV 1 năm
1 chủ từ đầu, HN. 7 chỗ trần thép
Địa chỉ: Xuân Phương, Hà Nội SĐT liên hệ: 082623**** Hiện số"
otodien_B2C,VinFast VF3 2025 - 5000 km,255 triệu,255000000,5000.0,2025.0,1,Đã sử dụng,5000.0,Thuê pin,"VF3 màu Xám xe sản xuất 2025 bản mua pin , Odo hơn 5000 km, Xe được hưởng chính sách sạc ko giới hạn số lần sạc. 
- Xe đã trang bị: Gần 50T phụ kiện 
- Dán gói phim cách nhiệt hạng thương gia 8T . 
- Thảm sàn , ốp lazang 
- Sơn quây bóng
- Gương bản to
- Màn hình androi
- Bệ tỳ tay
- Thảm taplo 
- Xe độ đèn bi cầu LED siêu sáng 4,5T 
- Ghế da nappa mềm như em bé . 
-Đang kiểm 3 năm . 
- độ chống ồn, vvv... và nhiều đồ chơi khác SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,"VINFAST VF 3 MỚI 100% – XE ĐIỆN MINI CÁ TÍNH, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",296 triệu,296000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"🚗 VINFAST VF 3 MỚI 100% – NHỎ GỌN, CÁ TÍNH, DỄ ĐI PHỐ

✅ Dòng xe: VinFast VF 3
✅ Tình trạng: Xe mới 100%
✅ Xe điện mini 4 chỗ ngồi
✅ Thiết kế vuông vức, trẻ trung và cá tính
✅ Kích thước nhỏ gọn, thuận tiện di chuyển trong phố
✅ Khoảng sáng gầm tốt, phù hợp nhiều điều kiện đường sá
✅ Nội thất tối giản, dễ sử dụng
✅ Chi phí vận hành tiết kiệm
✅ Nhiều màu sắc trẻ trung để lựa chọn

VinFast VF 3 là lựa chọn phù hợp cho khách hàng cần một mẫu ô tô điện nhỏ gọn để đi làm, đi học, đưa đón con hoặc di chuyển hằng ngày trong thành phố.

Thiết kế nhỏ giúp xe dễ xoay trở trong đường phố đông, thuận tiện tìm chỗ đỗ nhưng vẫn có không gian 4 chỗ ngồi đáp ứng tốt nhu cầu sử dụng cá nhân và gia đình nhỏ.

💰 GIÁ XE: Liên hệ nhận báo giá và ưu đãi mới nhất SĐT liên hệ: 079596**** Hiện số"
otodien_B2C,VINFAST VF6 – ƯU ĐÃI KHỦNG LÊN ĐẾN 11%,549 triệu,549000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"VinFast VF6 chính là sự lựa chọn không thể hoàn hảo hơn:

Lái cực sướng: Động cơ mạnh mẽ, tăng tốc mượt mà, ôm cua đèo dốc cực đầm chắc.

Thiết kế sang trọng: Nội thất rộng rãi, tinh tế đến từng chi tiết, tràn ngập công nghệ an toàn.

chính sách chung của các dòng xe

-voucher xe xăng :
fadil : giảm 30tr
lux a: 60tr
luxsa : 80 tr

- CAQĐ giảm 5%
- Hạng vinclub : gold giảm 1,5%
- platium 3%
- diamond :4,5%

chính sách riêng của mpv7: giảm 20 triệu và tặng 1 camera 360 SĐT liên hệ: 033252**** Hiện số"
otodien_B2C,VinFast VF3 2025 - 10000 km,294 triệu,294000000,10000.0,2025.0,1,Đã sử dụng,10000.0,Thuê pin,"🚘 VF3 xanh xám bản mua đứt pin 
-Sản xuất 2025 odo 1v KM 
- Xe đã vào gần 200T đồ chơi. 
- Sạc Tẹt Ga không bị giới hạn  
Trang bị đồ nhiều vô kể : 
- Dán film 3M xịn 8tr
- Trải sàn da 6D màu be siêu sang+Vô lăng bọc da+ Phím còi bọc da 4,5tr
- Ghế da nappa 9tr
-  Ghế chỉnh điện 8 hướng -1 chạm 13tr
- Vô lăng -phím còi bọc da 2tr
- Gương điện tích hợp sấy sưởi huvi 6,5tr
- Loa tép âm thanh vũ trường 19tr
- Cam lùi chính hãng 3tr
- Cam hành trình 70mai 2,5tr
- Bản đồ vietmap tích hợp trên cam 3tr
- Giá nóc hàng kaka loại xin 5tr
- Capo đổ đúc nguyên khối thể thao 11tr
- Bậc lên xuống hàng gia công tự đặt chắc như bê tông 6tr
- Nhựa đen sơn bóng 2,5tr
- Lốp thái lan chống đinh 11tr
- Calang đèn led mí đa sắc màu 5tr
- Phuộc tenka
- Phuộc sau 11tr
- Nâng gầm.  12tr
- Lò xo             4.7tr 
- Rotuyn thanh dằn   1tr2
- Phuộc trước HT25  9.8tr
- Cản trước. 2.8tr
- Phuộc trước 10tr 
- Chụp cnc bảo vệ gương sau SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,VinFast VF 3 Plus Mới 100% – Xe Điện Mini Đô Thị,296 triệu,296000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"VinFast VF 3 xe mới 100%, phù hợp nhu cầu đi lại hằng ngày trong thành phố, thiết kế nhỏ gọn nhưng vẫn nổi bật và cá tính.

Xe mới, chưa qua sử dụng
Thiết kế 2 cửa trẻ trung, phong cách SUV mini
Kích thước nhỏ gọn, dễ xoay trở và đỗ xe trong phố
Không gian 4 chỗ ngồi
Vận hành hoàn toàn bằng điện, êm ái và tiết kiệm chi phí sử dụng
Gầm xe cao, phù hợp điều kiện đường đô thị
Trang bị màn hình giải trí trung tâm
Điều hòa, kính điện và các tiện nghi cơ bản
Nhiều màu ngoại thất để lựa chọn
Bảo hành chính hãng VinFast

Giá bán: Liên hệ để nhận báo giá và ưu đãi mới nhất

Phù hợp với khách hàng mua xe lần đầu, gia đình cần xe thứ hai hoặc người thường xuyên di chuyển trong khu vực nội đô. SĐT liên hệ: 094821**** Hiện số"
otodien_B2C,VINFAST VF3 2026  – XE MỚI 100% – ƯU ĐÃI CỰC MẠNH!,285 triệu,285000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"VinFast VF 3 xe mới 100%, phù hợp nhu cầu đi lại hằng ngày trong thành phố, thiết kế nhỏ gọn nhưng vẫn nổi bật và cá tính.

Xe mới, chưa qua sử dụng
Thiết kế 2 cửa trẻ trung, phong cách SUV mini
Kích thước nhỏ gọn, dễ xoay trở và đỗ xe trong phố
Không gian 4 chỗ ngồi
Vận hành hoàn toàn bằng điện, êm ái và tiết kiệm chi phí sử dụng
Gầm xe cao, phù hợp điều kiện đường đô thị
Trang bị màn hình giải trí trung tâm
Điều hòa, kính điện và các tiện nghi cơ bản
Nhiều màu ngoại thất để lựa chọn
Bảo hành chính hãng VinFast

Phù hợp với khách hàng mua xe lần đầu, gia đình cần xe thứ hai hoặc người thường xuyên di chuyển trong khu vực nội đô. SĐT liên hệ: 094821**** Hiện số"
otodien_B2C,VinFast VF3 2025 - 5000 km,290 triệu,290000000,5000.0,2025.0,1,Đã sử dụng,5000.0,Thuê pin,"VF3 màu Trắng xe sản xuất 2025 bản mua pin , Odo 5000km 
- Xe được hưởng chính sách mới miễn phí sạc 2/2029
- Xe đã trang bị: Gần 80T phụ kiện 
- Dán gói phim cách nhiệt hạng thương gia 8T . 
- Đèn biled 
- Cốp trước 
- Gương điện huvi
- Cam lùi kết hợp cam hành trình 
- Ghế da nappa mềm như em bé kết hợp ghế chỉnh điện bên phụ , Thảm sàn , bọc volang thể thao. 
-Đang kiểm 3 năm . 
- độ chống ồn, vvv... và nhiều đồ chơi khác SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,🚗 VF7 ECO 2026 MỚI – ƯU ĐÃI “KHỦNG” CHƯA TỪNG CÓ!,703 triệu,703000000,,2026.0,0,Đã sử dụng,,Thuê pin,"🔥 Sở hữu ngay mẫu SUV điện hiện đại VinFast VF7 Eco 2026 – thiết kế đẳng cấp, vận hành êm ái, tiết kiệm chi phí, thân thiện môi trường!

💥 ƯU ĐÃI ĐẶC BIỆT (SỐ LƯỢNG CÓ HẠN)

🔹 Giảm thêm 6% – chương trình “Mãnh liệt vì tương lai xanh”
🔹 Giảm thêm 5% cho khối công an, quân đội
🔹 Giảm thêm 2% chương trình ""Mùa hè rực rỡ""
🔹 Ưu đãi giảm thêm trực tiếp từ đại lý
🔹 🎁 Miễn phí sạc đến tháng 02/2029 – tiết kiệm chi phí sử dụng cực lớn!

⚡ VÌ SAO NÊN CHỌN VF7 ECO 2026?

✔️ Thiết kế SUV thể thao, hiện đại
✔️ Nội thất rộng rãi, công nghệ thông minh
✔️ Động cơ điện vận hành êm ái, tăng tốc mượt
✔️ Chi phí sử dụng & bảo dưỡng thấp hơn xe xăng
✔️ Xu hướng xanh – bảo vệ môi trường 🌱

📞 LIÊN HỆ NGAY ĐỂ NHẬN GIÁ TỐT NHẤT

☎️ Hotline: ***
📍 Địa chỉ: Km 8+400 Đại lộ Thăng Long, Sơn Đồng, TP Hà Nội

👉 Số lượng xe có hạn – Ưu đãi kết thúc sớm!
Nhanh tay liên hệ để được tư vấn chi tiết và lái thử ngay hôm nay! SĐT liên hệ: 086500**** Hiện số"
otodien_B2C,VinFast VF7 2024 Plus - 30000 km,674 triệu,674000000,30000.0,2024.0,2,Đã sử dụng,15000.0,Thuê pin,"VF7 PLUS sản xuất 2024 Mua Pin hai cầu AWD 
ODO HƠN 3vKM 
- Xe được hưởng chính sách mới , miễn phí sạc đến hết tháng 2/2029 
Miễn phí sạc đến tháng 2/2029
Hỗ trợ bank 24/24 SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,🔥 MUA VF 3 CHỈ TỪ 262 TRIỆU ĐỒNG 🔥,253 triệu,253000000,,,0,Đã sử dụng,,Thuê pin,"🔥 MUA VF 3 CHỈ TỪ 262 TRIỆU ĐỒNG 🔥
Chính sách chung của các dòng xe
-voucher xe xăng :
fadil : giảm 30tr
lux a: 60tr
luxsa : 80 tr

- CAQĐ giảm 5%
- Hạng vinclub : gold giảm 1,5%
- platium 3%
- diamond :4,5%
chính sách riêng của mpv7: giảm 20 triệu và tặng 1 camera 360
🚗 Sở hữu ô tô điện quốc dân với chi phí cực dễ tiếp cận.
⚡ Tiết kiệm nhiên liệu, chi phí sử dụng thấp.
🏡 Phù hợp đi phố, đưa đón con, đi làm hàng ngày. SĐT liên hệ: 033252**** Hiện số"
otodien_B2C,🌿 VF6 Eco  – Mới 100% | Ưu đãi đến 13% ⚡,608 triệu,608000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"🌿 VINFAST VF6 ECO 2026 – XE MỚI 100% – ƯU ĐÃI CỰC MẠNH!

Chiếc SUV điện thông minh – tiết kiệm – hiện đại nhất trong tầm giá! VinFast VF6 Eco 2026 là sự lựa chọn hoàn hảo cho những ai muốn nâng tầm trải nghiệm lái xe với chi phí vận hành tối ưu. Cùng hàng loạt ưu đãi hấp dẫn:

✅ Ưu đãi 6% chương trình ""Mãnh liệt vì tương lai xanh""
✅ Giảm thêm 5% dành cho khối công an, quân đội
✅ Giảm thêm 2% chương trình ""Mùa hè rực rỡ""
✅ Ưu đãi bổ sung hấp dẫn từ đại lý
✅ Miễn phí sạc pin đến tháng 02/2029

🚙 VF6 Eco 2026 – Vì sao là lựa chọn thông minh?
• Phiên bản Eco tối ưu chi phí – giá tốt, trang bị đầy đủ tiện nghi
• Không gian SUV rộng rãi 5 chỗ, thiết kế trẻ trung hiện đại
• Màn hình giải trí lớn, kết nối điện thoại thông minh
• Hệ thống pin bền bỉ – phạm vi vận hành lý tưởng cho di chuyển đô thị và liên tỉnh
• An toàn chủ động: phanh khẩn cấp tự động, cảnh báo lệch làn, hỗ trợ giữ làn

💡 VF6 Eco – Tiết kiệm ngay từ khi mua, tiết kiệm mãi khi dùng!
So với xe xăng cùng phân khúc, chi phí nhiên liệu giảm tới 70% mỗi tháng. Đây chính là lý do hàng nghìn khách hàng đang chuyển sang xe điện!

📍 Showroom: Km 8+400 Đại lộ Thăng Long, Sơn Đồng, Hà Nội
📞 Hotline tư vấn: ***

⏰ Ưu đãi có giới hạn – Liên hệ ngay để nhận báo giá tốt nhất! SĐT liên hệ: 086500**** Hiện số"
otodien_B2C,VinFast VF9 2024 Plus - 24000 km,1 tỷ 140 triệu,1140000000,24000.0,2024.0,2,Đã sử dụng,12000.0,Thuê pin,"VF9 PLUS ĐEN NT NÂU VIN  2024 MUA PIN CATL ODO 24.000KM KM NT NÂU 7 GHẾ TRẦN KÍNH  .
-CHÍNH SÁCH SẠC FREE KO GIỚI HẠN 30/6/2027 ,SAU ĐÓ FREE SẠC 10L/THÁNG .
- XUẤT HÓA ĐƠN COTY 
- CHÀO 1140 SĐT liên hệ: 098234**** Hiện số"
otodien_B2C,MPV 7 – XE GIA ĐÌNH 7 CHỖ ĐANG CÓ ƯU ĐÃI CỰC TỐT - GIẢM GIÁ LÊN ĐẾN HÀNG TRĂM TRIỆU ĐỒNG!!!,750 triệu,750000000,,,0,Đã sử dụng,,Thuê pin,"🌟 VinFast VF MPV 7 – Mẫu MPV điện hiện đại dành cho gia đình và kinh doanh dịch vụ:
✔️ Thiết kế sang trọng, rộng rãi 7 chỗ
✔️ Vận hành êm ái, không phát thải
✔️ Trang bị công nghệ thông minh, an toàn hiện đại
✔️ Chi phí vận hành tối ưu vượt trội so với xe xăng cùng phân khúc SĐT liên hệ: 094821**** Hiện số"
otodien_B2C,VinFast VF6 2024 Plus - 17000 km,600 triệu,600000000,17000.0,2024.0,2,Đã sử dụng,8500.0,Thuê pin,"VF6 Plus 2024
Odo: 17.000km
Xe lên Phuộc, Đèn Bi gầm, Hạ ghế sau, Phim, Sàn... SĐT liên hệ: 082623**** Hiện số"
